,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
cbse,2021-02-24 12:00:00,50379.99,50950.25,50368.45,50768.53
cbse,2021-02-24 12:20:00,50768.54,51332.84,50516.28,51195.26
cbse,2021-02-24 12:40:00,51195.26,51199.31,50635.86,50738.3
cbse,2021-02-24 13:00:00,50738.3,51123.31,49522.74,49565.85
cbse,2021-02-24 13:20:00,49566.4,49969.69,49000.0,49264.33
cbse,2021-02-24 13:40:00,49258.55,49867.0,49257.69,49479.41
cbse,2021-02-24 14:00:00,49479.41,49804.39,49150.0,49649.32
cbse,2021-02-24 14:20:00,49649.32,49685.48,49092.3,49344.89
cbse,2021-02-24 14:40:00,49344.89,49450.0,48731.33,49427.61
cbse,2021-02-24 15:00:00,49427.61,49641.49,48665.0,48744.06
cbse,2021-02-24 15:20:00,48731.61,49617.3,48500.0,49417.82
cbse,2021-02-24 15:40:00,49420.01,49877.97,49175.0,49850.22
cbse,2021-02-24 16:00:00,49850.0,50144.92,49566.55,49599.49
cbse,2021-02-24 16:20:00,49597.29,49882.8,49365.0,49767.14
cbse,2021-02-24 16:40:00,49767.14,49823.84,49353.95,49371.5
cbse,2021-02-24 17:00:00,49371.49,49999.0,49360.64,49876.98
cbse,2021-02-24 17:20:00,49876.97,49961.49,49637.27,49774.96
cbse,2021-02-24 17:40:00,49774.96,50113.72,49748.29,50096.69
cbse,2021-02-24 18:00:00,50096.69,50103.57,49582.18,49589.59
cbse,2021-02-24 18:20:00,49589.59,50018.91,49544.84,49934.71
cbse,2021-02-24 18:40:00,49940.0,49955.31,49600.0,49619.18
cbse,2021-02-24 19:00:00,49619.19,49733.51,49280.0,49515.48
cbse,2021-02-24 19:20:00,49520.26,49576.12,48833.24,48892.5
cbse,2021-02-24 19:40:00,48895.62,49241.73,48895.62,48990.27
cbse,2021-02-24 20:00:00,48990.27,49276.8,48870.8,48950.01
cbse,2021-02-24 20:20:00,48950.0,49030.0,48608.58,48889.19
cbse,2021-02-24 20:40:00,48888.32,49259.65,48665.82,49174.4
cbse,2021-02-24 21:00:00,49174.41,49174.41,48259.0,48275.01
cbse,2021-02-24 21:20:00,48279.03,48579.0,48150.0,48418.26
cbse,2021-02-24 21:40:00,48429.29,48935.04,48111.0,48757.56
cbse,2021-02-24 22:00:00,48758.08,48760.22,48078.62,48344.92
cbse,2021-02-24 22:20:00,48341.96,48987.38,48305.39,48707.98
cbse,2021-02-24 22:40:00,48706.21,48934.96,48500.0,48850.4
cbse,2021-02-24 23:00:00,48842.66,49549.5,48775.05,49191.93
cbse,2021-02-24 23:20:00,49191.93,49762.44,49191.93,49609.33
cbse,2021-02-24 23:40:00,49586.1,49788.0,49500.0,49737.82
gmni,2021-02-24 00:00:00,48923.48,49130.5,47610.95,47807.48
gmni,2021-02-24 00:20:00,47793.06,47845.65,47000.01,47725.29
gmni,2021-02-24 00:40:00,47802.79,48526.33,47610.95,48500.0
gmni,2021-02-24 01:00:00,48510.28,49085.44,48442.89,49050.19
gmni,2021-02-24 01:20:00,49050.09,49380.0,48764.28,49300.0
gmni,2021-02-24 01:40:00,49295.07,50331.36,49295.07,50227.97
gmni,2021-02-24 02:00:00,50257.72,50613.36,49880.25,50097.07
gmni,2021-02-24 02:20:00,50097.07,50475.0,49833.0,50354.74
gmni,2021-02-24 02:40:00,50340.39,50472.25,50057.78,50244.25
gmni,2021-02-24 03:00:00,50200.0,50573.45,50054.16,50483.89
gmni,2021-02-24 03:20:00,50513.89,50533.57,50222.58,50533.57
gmni,2021-02-24 03:40:00,50551.73,51000.0,50332.53,50965.74
gmni,2021-02-24 04:00:00,50943.71,51397.44,50943.71,51009.15
gmni,2021-02-24 04:20:00,51008.07,51200.33,50635.18,50641.49
gmni,2021-02-24 04:40:00,50641.17,50966.54,50350.01,50645.41
gmni,2021-02-24 05:00:00,50713.91,51015.63,50222.25,50235.52
gmni,2021-02-24 05:20:00,50232.82,50513.79,50002.51,50502.05
gmni,2021-02-24 05:40:00,50502.05,50546.71,50200.0,50212.6
gmni,2021-02-24 06:00:00,50253.37,50703.1,49450.82,49697.09
gmni,2021-02-24 06:20:00,49707.64,50147.76,49543.68,49865.91
gmni,2021-02-24 06:40:00,49865.42,50428.29,49716.4,50140.49
gmni,2021-02-24 07:00:00,50125.63,50183.63,49526.44,49705.2
gmni,2021-02-24 07:20:00,49793.21,50247.09,49614.66,50124.43
gmni,2021-02-24 07:40:00,50125.19,50363.01,49997.59,50095.0
gmni,2021-02-24 08:00:00,50041.59,50899.0,49845.77,50753.22
gmni,2021-02-24 08:20:00,50738.23,50904.42,50531.96,50732.21
gmni,2021-02-24 08:40:00,50689.91,50785.03,50302.63,50684.06
gmni,2021-02-24 09:00:00,50689.09,50981.64,50351.27,50926.52
gmni,2021-02-24 09:20:00,50932.27,51213.71,50706.46,51211.19
gmni,2021-02-24 09:40:00,51213.71,51442.01,50862.1,50901.73
gmni,2021-02-24 10:00:00,50915.34,51044.54,50399.99,50584.4
gmni,2021-02-24 10:20:00,50540.0,50661.87,50175.98,50377.47
gmni,2021-02-24 10:40:00,50403.42,50644.76,50121.89,50121.89
gmni,2021-02-24 11:00:00,50152.87,50631.91,50121.89,50372.09
gmni,2021-02-24 11:20:00,50431.91,50957.67,50364.53,50622.76
gmni,2021-02-24 11:40:00,50633.57,50710.79,50238.25,50360.62
gmni,2021-02-24 12:00:00,50409.14,50963.22,50377.9,50759.94
gmni,2021-02-24 12:20:00,50771.42,51364.74,50768.07,51236.86
gmni,2021-02-24 12:40:00,51236.81,51236.81,50614.12,50742.99
gmni,2021-02-24 13:00:00,50784.52,51114.68,49551.66,49551.68
gmni,2021-02-24 13:20:00,49551.68,50019.53,48940.12,49227.09
gmni,2021-02-24 13:40:00,49276.87,49873.56,49276.85,49470.1
gmni,2021-02-24 14:00:00,49480.62,49792.18,49150.0,49642.87
gmni,2021-02-24 14:20:00,49641.96,49679.39,49149.64,49342.74
gmni,2021-02-24 14:40:00,49335.8,49465.79,48730.24,49424.75
gmni,2021-02-24 15:00:00,49435.86,49669.02,48676.35,48712.39
gmni,2021-02-24 15:20:00,48690.82,49632.09,48481.21,49477.75
gmni,2021-02-24 15:40:00,49430.91,49890.38,49176.15,49869.66
gmni,2021-02-24 16:00:00,49898.58,50138.01,49581.13,49628.88
gmni,2021-02-24 16:20:00,49642.9,49907.16,49415.39,49750.0
gmni,2021-02-24 16:40:00,49750.0,49830.61,49306.35,49393.64
gmni,2021-02-24 17:00:00,49391.94,50016.49,49385.52,49896.1
gmni,2021-02-24 17:20:00,49888.8,49983.28,49647.68,49814.15
